ticker,name,sector,price,pe_ratio,dividend_yield,eps,week52_low,week52_high,market_cap,ebitda,ps_ratio,pb_ratio,market_cap_bn,ebitda_bn,ev_ebitda_proxy,price_range_pct,market_cap_tier,loaded_at,acquired,deal_year,deal_value_bn,acquirer,deal_status,pe_ratio_sector_pct,pb_ratio_sector_pct,ps_ratio_sector_pct,ev_ebitda_proxy_sector_pct,market_cap_sector_pct,dividend_yield_sector_pct,pe_ratio_zscore,pb_ratio_zscore,ps_ratio_zscore,ev_ebitda_proxy_zscore,cheap_count,log_market_cap,log_ebitda,cheap_and_midcap,cash_cow_flag,near_52w_low,near_52w_high,profitable,low_pb_small_size,sector_Consumer Discretionary,sector_Consumer Staples,sector_Energy,sector_Financials,sector_Health Care,sector_Industrials,sector_Information Technology,sector_Materials,sector_Real Estate,sector_Telecommunication Services,sector_Utilities,tier_Large-cap,tier_Mega-cap,tier_Mid-cap,deal_probability,deal_score
MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,138721055226.0,9048000000.0,4.3902707,11.34,138.721055226,9.048,15.331681612068966,43.75889890840058,Large-cap,2026-04-25T14:52:57.872278,0,2023.0,76.75,,none,0.7014925373134329,0.9253731343283582,0.9104477611940298,0.8208955223880597,0.9850746268656716,0.8805970149253731,0.5553872815138593,0.0897496143605127,1.1224800408940696,0.6273871797529998,0,25.65573095683408,22.92580957587075,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.006006408,12.0
AOS,A.O. Smith Corp,Industrials,60.24,27.76,1.1479592,1.7,68.39,48.925,10783419933.0,601000000.0,3.5754826,6.35,10.783419933,0.601,17.94246245091514,41.87002311841766,Large-cap,2026-04-25T14:52:57.872278,0,2023.0,76.75,,unlabeled,0.9402985074626866,0.746268656716418,0.746268656716418,0.9552238805970148,0.1791044776119403,0.3432835820895522,1.235894941847433,-0.1230588152079286,0.6190959293297298,1.0555395045175968,0,23.101275600166687,20.214105494163377,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.9874548,63.9
ABT,Abbott Laboratories,Health Care,56.27,22.51,1.9089824,0.26,64.6,42.28,102121042306.0,5744000000.0,3.7404804,3.19,102.121042306,5.744,17.778732991991642,37.32078853046592,Large-cap,2026-04-25T14:52:57.872278,0,2021.5,63.0,,none,0.6721311475409836,0.3442622950819672,0.4262295081967213,0.5737704918032787,0.8524590163934426,0.8032786885245902,-0.0406217965156031,-0.2287918847434255,-0.2841513694372271,0.0,2,25.349424635955817,22.47142166886643,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0049370974,23.9
ABBV,AbbVie Inc.,Health Care,108.48,19.41,2.4995599,3.29,125.86,60.05,181386347059.0,10310000000.0,6.291571,26.14,181.386347059,10.31,17.593244137633366,26.40936027959276,Large-cap,2026-04-25T14:52:57.872278,0,2021.5,63.0,,none,0.4754098360655737,0.9672131147540984,0.7540983606557377,0.5409836065573771,0.9508196721311476,0.8524590163934426,-0.1556765069624651,0.6868902859899345,0.3844593188117904,0.0,1,25.92389510751711,23.056380135072278,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.008916363,18.7
ACN,Accenture plc,Information Technology,150.51,25.47,1.7144699,5.44,162.6,114.82,98765855553.0,5643228000.0,2.604117,10.62,98.765855553,5.643228,17.50165960918113,25.30347425701131,Large-cap,2026-04-25T14:52:57.872278,0,2020.0,27.5,,none,0.5142857142857142,0.7428571428571429,0.2285714285714285,0.6285714285714286,0.8,0.6857142857142857,-0.1900122769930305,0.0006820983252835,-0.8061293757857808,-0.0812020213512298,1,25.316017790411003,22.4537220793348,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0076720472,17.6
ATVI,Activision Blizzard,Information Technology,65.83,31.8,0.43190324,1.28,74.945,38.93,52518668144.0,2704000000.0,10.59512,5.16,52.518668144,2.704,19.422584372781063,25.308899069832,Large-cap,2026-04-25T14:52:57.872278,1,2023.0,69.0,Microsoft,completed,0.7285714285714285,0.4285714285714285,0.8857142857142857,0.7,0.7142857142857143,0.3714285714285714,-0.0290467413102127,-0.2225946916056262,1.202793774368089,0.0156458645426076,1,24.68443452705337,21.71799799549695,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.8920539,64.7
AYI,Acuity Brands Inc,Industrials,145.41,18.22,0.35118526,7.43,225.36,142.0,6242377704.0,587800000.0,1.7953473,3.55,6.242377704,0.5878,10.619900823409322,95.90930902111326,Mid-cap,2026-04-25T14:52:57.872278,0,2023.0,76.75,,unlabeled,0.208955223880597,0.3582089552238806,0.3432835820895522,0.4029850746268656,0.0597014925373134,0.1343283582089552,-0.6458566754227958,-0.242470358853547,-0.4806891883650661,-0.1453164759614939,4,22.55462698921745,20.19189731365035,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.99281776,88.2
ADBE,Adobe Systems Inc,Information Technology,185.16,52.31,0.0,3.39,204.45,114.451,94550214268.0,2538040000.0,13.092818,11.06,94.550214268,2.53804,37.25324040125451,21.4335714841276,Large-cap,2026-04-25T14:52:57.872278,0,2020.0,27.5,,none,0.9,0.7857142857142857,0.9142857142857144,0.9285714285714286,0.7714285714285715,0.1714285714285714,0.4925019374977797,0.0186750997116572,1.8307103618469096,0.914619823950374,0,25.27239689824609,21.65465796694971,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.009287215,9.7
AAP,Advance Auto Parts,Consumer Discretionary,109.63,19.54,0.21832074,6.19,169.55,78.81,8123611867.0,853941000.0,1.1301061,2.51,8.123611867,0.853941,9.513083300836945,66.03482477407981,Mid-cap,2026-04-25T14:52:57.872278,0,2023.0,29.4,,unlabeled,0.5595238095238095,0.2619047619047619,0.1904761904761904,0.4166666666666667,0.1309523809523809,0.2738095238095238,-0.1747453954926716,-0.3222577657230326,-0.7831684166391786,0.0,3,22.81804070355081,20.56537266388624,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9842695,81.4
AMD,Advanced Micro Devices Inc,Information Technology,11.22,187.0,0.0,0.03,15.65,9.7,11191663795.0,339000000.0,2.1091955,21.47,11.191663795,0.339,33.013757507374635,74.45378151260502,Large-cap,2026-04-25T14:52:57.872278,0,2020.0,27.5,,unlabeled,0.9714285714285714,0.9428571428571428,0.1571428571428571,0.9142857142857144,0.1714285714285714,0.1714285714285714,3.9175332172953663,0.444373155239271,-0.93055171161257,0.7008764419420691,1,23.1384350341872,19.641510668294572,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.9726848,68.2
