ticker,name,sector,price,pe_ratio,dividend_yield,eps,week52_low,week52_high,market_cap,ebitda,ps_ratio,pb_ratio,market_cap_bn,ebitda_bn,ev_ebitda_proxy,price_range_pct,market_cap_tier,loaded_at,acquired,deal_year,deal_value_bn,acquirer,deal_status,pe_ratio_sector_pct,pb_ratio_sector_pct,ps_ratio_sector_pct,ev_ebitda_proxy_sector_pct,market_cap_sector_pct,dividend_yield_sector_pct,pe_ratio_zscore,pb_ratio_zscore,ps_ratio_zscore,ev_ebitda_proxy_zscore,cheap_count,log_market_cap,log_ebitda,cheap_and_midcap,cash_cow_flag,near_52w_low,near_52w_high,profitable,low_pb_small_size,sector_Consumer Discretionary,sector_Consumer Staples,sector_Energy,sector_Financials,sector_Health Care,sector_Industrials,sector_Information Technology,sector_Materials,sector_Real Estate,sector_Telecommunication Services,sector_Utilities,tier_Large-cap,tier_Mega-cap,tier_Mid-cap
ANSS,ANSYS,Information Technology,148.84,42.53,0.0,2.99,164.9,94.52,13155919129.0,458515000.0,16.184554639999998,5.79,13.155919129,0.458515,28.692450910002943,22.81898266552998,Large-cap,2026-04-25T14:52:57.872278,0,2020.0,27.5,,unlabeled,0.8714285714285714,0.4857142857142857,0.9857142857142858,0.8857142857142857,0.2,0.17142857142857143,0.2438063705186395,-0.19683198507513666,2.607967148044455,0.4830077277763839,1,23.30013761824916,19.94350356668284,0,0,1,0,1,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False
ANTM,Anthem Inc.,Health Care,230.57,19.23,1.2581781,14.36,267.95,156.81,61221978627.0,0.0,0.6696521,2.28,61.221978627,0.0,15.288987971795937,33.633255353608064,Large-cap,2026-04-25T14:52:57.872278,0,2021.5,63.0,,unlabeled,0.45901639344262296,0.13114754098360656,0.09836065573770492,0.9754098360655737,0.7540983606557377,0.6885245901639344,-0.16235710305292814,-0.2650999795306742,-1.088979164717238,0.0,3,24.837772089902195,0.0,0,0,0,0,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False
AON,Aon plc,Financials,136.05,20.8,1.0245464,4.66,152.78,113.2201,35123123422.0,1858000000.0,3.4972682,6.78,35.123123422,1.858,18.90372627664155,42.29029901491154,Large-cap,2026-04-25T14:52:57.872278,0,2023.0,13.0,,none,0.7794117647058824,0.9558823529411765,0.7352941176470589,0.20588235294117646,0.6323529411764706,0.11764705882352941,0.47736199758671327,0.0016641314193234665,0.05335951279807456,0.0,1,24.282125537493403,21.34276647787627,0,0,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False
APA,Apache Corporation,Energy,37.73,-53.6096,2.528445,-3.72,57.9,38.14,15066280977.0,3265000000.0,3.651366,2.22,15.066280977,3.265,4.614481156814701,102.07489878542512,Large-cap,2026-04-25T14:52:57.872278,1,2024.0,19.75,,rumoured,0.0625,0.5625,0.5625,0.15625,0.40625,0.65625,-1.4420701929127135,-0.1896707033954687,-0.01376037716085823,-0.3794027104580183,2,23.435725035983523,21.906525599981084,1,1,0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False
AIV,Apartment Investment & Management,Real Estate,38.21,15.6,3.876562,1.95,46.855,38.85,6156884142.0,874871000.0,6.187621,4.69,6.156884142,0.874871,7.037476544541995,107.99500312304812,Mid-cap,2026-04-25T14:52:57.872278,0,2024.0,28.0,,unlabeled,0.42424242424242425,0.8181818181818182,0.15151515151515152,0.030303030303030304,0.030303030303030304,0.6060606060606061,-0.21338132071426152,-0.08504693970226486,-0.909601830090767,0.0,3,22.540836665579715,20.589587006024825,1,1,0,1,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True
AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020.0,79386000000.0,3.4586093,5.66,809.50803402,79.386,10.197113269594135,50.93915884034298,Mega-cap,2026-04-25T14:52:57.872278,0,2020.0,27.5,,none,0.3142857142857143,0.4714285714285714,0.34285714285714286,0.22857142857142856,1.0,0.6571428571428571,-0.40895592031515704,-0.2021480991211107,-0.5913116159753757,-0.4494776997160611,4,27.419692534685637,25.097587867247338,0,0,0,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False
AMAT,Applied Materials Inc,Information Technology,45.75,14.08,0.8215239,3.17,60.89,34.58,51296481503.0,4336000000.0,4.7020154,5.44,51.296481503,4.336,11.830369350322878,57.54465982516154,Large-cap,2026-04-25T14:52:57.872278,0,2020.0,27.5,,none,0.17142857142857143,0.44285714285714284,0.4857142857142857,0.2857142857142857,0.7,0.44285714285714284,-0.479648525243788,-0.21114459981429753,-0.27872165707628177,-0.36713329896743474,4,24.660888000104297,22.190218101314382,0,0,0,0,1,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False
APTV,Aptiv Plc,Consumer Discretionary,89.27,69.74,0.9392678,5.05,96.91,82.97,24906530300.0,2370000000.0,1.5025798,7.56,24.9065303,2.37,10.509084514767933,54.806312769010056,Large-cap,2026-04-25T14:52:57.872278,0,2023.0,29.4,,unlabeled,0.9761904761904762,0.7738095238095238,0.30952380952380953,0.5595238095238095,0.6904761904761905,0.3333333333333333,1.6637013859522105,-0.18933294729416014,-0.5289112375201834,0.0,1,23.938395867116984,21.58615579251539,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
ADM,Archer-Daniels-Midland Co,Consumer Staples,41.35,17.45,3.1761081,2.17,47.44,38.59,23594770663.0,2927000000.0,0.52478915,1.29,23.594770663,2.927,8.061076413734199,68.8135593220339,Large-cap,2026-04-25T14:52:57.872278,0,2022.0,18.7,,unlabeled,0.23529411764705882,0.029411764705882353,0.058823529411764705,0.17647058823529413,0.4117647058823529,0.7647058823529411,-0.6407294240500422,-0.4092534999007996,-0.9352561397694793,-0.5680230960243502,4,23.88429094239115,21.797243844997805,1,1,0,0,1,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
ARNC,Arconic Inc,Industrials,24.45,20.21,0.9561753,-0.21,31.17,21.755,12123300000.0,1517000000.0,0.94214815,4.46,12.1233,1.517,7.991628213579433,71.37546468401487,Large-cap,2026-04-25T14:52:57.872278,0,2023.0,76.75,,unlabeled,0.40298507462686567,0.5074626865671642,0.1044776119402985,0.16417910447761194,0.22388059701492538,0.2835820895522388,-0.25333196699850247,-0.203661607168721,-1.0078040248608369,-0.5763373457603945,3,23.21839505783707,21.140000537972004,1,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False
AJG,Arthur J. Gallagher & Co.,Financials,64.4,21.05,2.4807138,2.54,70.55,53.63,11968488290.0,888000000.0,1.9400215,2.92,11.96848829,0.888,13.478027353603604,36.34751773049641,Large-cap,2026-04-25T14:52:57.872278,0,2023.0,13.0,,unlabeled,0.7941176470588235,0.8235294117647058,0.29411764705882354,0.14705882352941177,0.20588235294117646,0.7941176470588235,0.5105026598114616,-0.14358766924042532,-0.5440666467030734,0.0,2,23.205543057062155,20.60448230208257,1,1,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False
AIZ,Assurant Inc,Financials,85.16,33.27,2.5313594,9.08,106.985,85.91,4653993594.0,0.0,0.9821866,1.12,4.653993594,0.0,13.333242399935546,103.55871886120995,Mid-cap,2026-04-25T14:52:57.872278,0,2023.0,13.0,,unlabeled,0.9852941176470589,0.19117647058823528,0.04411764705882353,0.6323529411764706,0.029411764705882353,0.8088235294117647,2.1304182293571605,-0.21132166954808018,-0.9115329099118289,0.0,2,22.260991525590068,0.0,1,0,0,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True
T,AT&T Inc,Telecommunication Services,35.57,12.14,5.4156513,4.76,42.7,32.55,226713270000.0,49653000000.0,1.4083152,1.8,226.71327,49.653,4.565953114615431,70.2463054187192,Mega-cap,2026-04-25T14:52:57.872278,0,2023.0,28.0,,none,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.37939042988970284,-0.5207557907513882,-0.8451745352962083,0.5887416068330008,1,26.146951928260652,24.628324648593065,0,1,0,1,1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False
ADSK,Autodesk Inc,Information Technology,104.81,-53.6096,0.0,-2.61,131.1,81.75,24348294504.0,-378100000.0,16.184554639999998,205.0419999999998,24.348294504,-0.3781,-25.20615748198214,53.27254305977709,Large-cap,2026-04-25T14:52:57.872278,0,2020.0,27.5,,unlabeled,0.014285714285714285,1.0,0.9857142857142858,0.014285714285714285,0.44285714285714284,0.17142857142857143,-2.200926996674382,7.951216906374242,2.607967148044455,-2.234415866472593,2,23.91572764315961,0.0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False
ADP,Automatic Data Processing,Information Technology,108.25,29.34,2.2190912,3.85,125.24,95.5,50337702249.0,2767400000.0,4.0483294,12.86,50.337702249,2.7674,18.18952888957144,57.12844653665097,Large-cap,2026-04-25T14:52:57.872278,0,2020.0,27.5,,none,0.6857142857142857,0.8571428571428571,0.4142857142857143,0.6714285714285714,0.6857142857142857,0.8,-0.0916020679736775,0.09228283265591324,-0.44305709010408584,-0.04652149307678066,1,24.642020180995228,21.741174088560907,0,0,0,0,1,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False
AZO,AutoZone Inc,Consumer Discretionary,718.57,16.31,0.0,44.09,797.89,491.13,19922021415.0,2347304000.0,1.8510429,136.23,19.922021415,2.347304,8.487192717688037,25.857347763724064,Large-cap,2026-04-25T14:52:57.872278,0,2023.0,29.4,,unlabeled,0.39285714285714285,0.9642857142857143,0.5119047619047619,0.34523809523809523,0.6190476190476191,0.13095238095238096,-0.293035895573687,3.197486139288618,-0.2910441214444436,0.0,2,23.71509156066128,21.57653327290923,1,0,1,0,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
AVB,"AvalonBay Communities, Inc.",Real Estate,154.94,17.97,3.7149355,6.36,199.52,156.01,21856547430.0,1331579000.0,10.251216,2.12,21.85654743,1.331579,16.414007302608407,102.4592047805102,Large-cap,2026-04-25T14:52:57.872278,0,2024.0,28.0,,unlabeled,0.6060606060606061,0.42424242424242425,0.5151515151515151,0.6666666666666666,0.7878787878787878,0.5151515151515151,-0.13965234747342922,-0.2512795037988097,0.07600384794005509,0.0,1,23.807766367193516,21.009631293790125,0,1,0,1,1,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False
AVY,Avery Dennison Corp,Materials,110.77,22.11,1.5682175,3.11,123.67,78.471,10104814319.0,831200000.0,1.5206499,8.83,10.104814319,0.8312,12.156898843840231,28.54045443483264,Large-cap,2026-04-25T14:52:57.872278,0,2023.0,63.0,,unlabeled,0.48,0.92,0.24,0.52,0.16,0.48,0.07564103158340323,1.352734776687075,-0.8824377173258338,-0.056404716521226125,2,23.03627781257132,20.538380998952373,1,0,1,0,1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False
BHGE,"Baker Hughes, a GE Company",Energy,27.5,200.0692,2.4991322,-0.31,57.73,28.03,32995712852.0,285000000.0,1.9390045,2.25,32.995712852,0.285,115.77443105964912,101.78451178451178,Large-cap,2026-04-25T14:52:57.872278,0,2023.0,19.75,,unlabeled,0.984375,0.59375,0.28125,1.0,0.6875,0.625,2.4336099206792774,-0.16281625892911736,-0.6298479137521786,4.68050660527681,1,24.21964347642794,19.467999741741696,0,0,0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False
BLL,Ball Corp,Materials,38.44,20.56,1.0170354,0.85,43.24,35.6,13767688518.0,1317000000.0,1.5696399,3.62,13.767688518,1.317,10.453825753986331,62.827225130890106,Large-cap,2026-04-25T14:52:57.872278,0,2023.0,63.0,,unlabeled,0.36,0.48,0.28,0.4,0.4,0.28,-0.012275139392159535,-0.3912393365811772,-0.850543638603778,-0.3582514555291325,4,23.345590272052377,20.998622260466856,1,0,0,0,1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False
BAC,Bank of America Corp,Financials,29.74,16.34,1.536,1.55,32.67,22.07,321478200969.0,0.0,3.2011874,1.24,321.478200969,0.0,13.333242399935546,27.64150943396229,Mega-cap,2026-04-25T14:52:57.872278,0,2023.0,13.0,,none,0.5147058823529411,0.2647058823529412,0.5588235294117647,0.6323529411764706,0.9852941176470589,0.2647058823529412,-0.11386741650279712,-0.20680606952756986,-0.06022969258988849,0.0,1,26.496195574188423,0.0,0,0,1,0,1,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False
BAX,Baxter International Inc.,Health Care,62.56,25.12,0.97635394,1.29,72.58,48.15,35713732553.0,1832000000.0,3.4394414,3.77,35.713732553,1.832,19.494395498362444,41.01514531313957,Large-cap,2026-04-25T14:52:57.872278,0,2021.5,63.0,,unlabeled,0.7704918032786885,0.47540983606557374,0.3770491803278688,0.6229508196721312,0.5409836065573771,0.639344262295082,0.056246846796109626,-0.20565046169221207,-0.36305013257005975,0.0,2,24.298801117145395,21.328674103744202,1,0,0,0,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False
BBT,BB&T Corporation,Financials,51.07,16.26,2.4526198,2.74,55.99,41.17,42087562920.0,0.0,3.4552107,1.55,42.08756292,0.0,13.333242399935546,33.19838056680163,Large-cap,2026-04-25T14:52:57.872278,1,2019.0,28.0,BB&T/SunTrust → Truist,completed,0.5,0.4485294117647059,0.7058823529411765,0.6323529411764706,0.7058823529411765,0.7794117647058824,-0.12447242841471635,-0.19514076947458486,0.037224464508539126,0.0,1,24.463018116436942,0.0,0,1,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False
BDX,Becton Dickinson,Health Care,211.44,22.28,1.3518385,4.65,248.3888,175.66,50910180308.0,1537000000.0,5.6912947,3.98,50.910180308,1.537,33.123084130123615,50.80353312580436,Large-cap,2026-04-25T14:52:57.872278,0,2021.5,63.0,,none,0.639344262295082,0.5409836065573771,0.6885245901639344,0.8852459016393442,0.6885245901639344,0.7213114754098361,-0.049158113742305845,-0.19727167058746234,0.22713399681712126,0.0,0,24.653328746575067,21.153098302153488,0,0,0,0,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False
